,title,description,link
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,"Brexit, Brussels and Northern Ireland: careful what you wish for",Backstop plans could hand the EU extraordinary powers over the province,https://www.ft.com/content/6d02d3a4-fa24-11e8-8b7c-6fa24bd5409c
12,Government insists vote on Brexit deal will go ahead,Theresa May faces almost certain defeat in Tuesday’s parliamentary vote,https://www.ft.com/content/c50eebbc-fba7-11e8-aebf-99e208d3e521
13,Online investment platforms defy gloomy London markets,AJ Bell’s shares jump after it becomes the third to float this year,https://www.ft.com/content/e64607e4-f3c2-11e8-ae55-df4bf40f9d0d
14,Cross-party committee unites to condemn May’s Brexit,MPs accuse prime minister of avoiding ‘hard choices’ in fierce critique of plan,https://www.ft.com/content/75543702-fa3b-11e8-af46-2022a0b02a6c
15,"Brexit deal vote, ECB meeting, Inditex results",Vanessa Kortekaas on the key stories the FT will be watching this week,https://www.ft.com/video/0f8bce03-59ab-4622-b8d2-781d45fc2e1d
16,May’s deal avoids pitfalls of no deal and no Brexit,Compromise is the most pragmatic and moderate response to a polarised nation,https://www.ft.com/content/cc65b848-fa2e-11e8-a154-2b65ddf314e9
17,Rudd says Norway-style Brexit deal is ‘plausible’,Work and pensions secretary’s comments put further pressure on Theresa May’s plans,https://www.ft.com/content/3a0010aa-facb-11e8-ac00-57a2a826423e
18,"Listen: Brexit finally arrives in the Commons, legal advice is given",MPs began debating Theresa May’s Brexit deal in the Commons this week and there was little sign of a breakthrough for the prime minister. ,https://www.ft.com/video/acb81771-a31d-4153-8ea5-5a83ff4d9936
19,Pound exodus: Brexit drives away US and Asia investors,Asset managers have struggled to generate returns throughout the year,https://www.ft.com/content/63870ec8-fa36-11e8-8b7c-6fa24bd5409c
20,Airbnb rentals in London block sparks call for action,Residents say their home feels like a hotel with 20% of flats on short-term lets,https://www.ft.com/content/3aa0bd72-fa01-11e8-af46-2022a0b02a6c
21,Stable research funding drives Britain’s ‘Nobel factory’,Cambridge laboratory scoops greatest award in science again to highlights its pre-eminence,https://www.ft.com/content/4309f1fc-f8a5-11e8-8b7c-6fa24bd5409c
22,Mike Ashley benefits from fight to save high street,Sports Direct founder wins rate relief and investment incentives from cash-strapped councils,https://www.ft.com/content/c466743e-f7bd-11e8-8b7c-6fa24bd5409c
23,"Week ahead: Brexit vote, ECB, Google chief testimony",,https://www.ft.com/content/0343f06c-fa3b-11e8-8b7c-6fa24bd5409c
24,How Huawei used the UK to become a global giant,Chinese company’s focus on 5G development is worrying politicians and intelligence services,https://www.ft.com/content/16381afa-f986-11e8-8b7c-6fa24bd5409c
25,UK Christmas dinner comes at a higher price,Summer drought and heatwave lower yields of vegetables such as Brussels sprouts and carrots,https://www.ft.com/content/4a5c00b6-f987-11e8-af46-2022a0b02a6c
26,Cashing in on potty panic as the safety net frays,"Teachers are having to fund clothes, shoes and travel costs for pupils in need",https://www.ft.com/content/29108dd6-f8a7-11e8-af46-2022a0b02a6c
27,May falters in bid for voters to pressure Brexit MPs,"Despite PM’s energetic campaigning, party members in Tory heartlands are suspicious of her deal",https://www.ft.com/content/6b72de8e-f8a4-11e8-af46-2022a0b02a6c
28,Interserve in fresh rescue talks with creditors,Shareholders in outsourcer could face near wipe-out as sector’s problem deepen,https://www.ft.com/content/dd8e5588-f8b9-11e8-af46-2022a0b02a6c
29,Brexit damps private equity appetite for UK deals,Volume of transactions tumbles as dealmakers await outcome,https://www.ft.com/content/ab7a22a8-fa34-11e8-af46-2022a0b02a6c
30,Switzerland risks EU sanctions threat over integration deal,Failure to endorse closer alignment to bloc is snub to Brussels,https://www.ft.com/content/c1545cb8-fa45-11e8-af46-2022a0b02a6c
31,"IC — Drax, Stobart Group, Dignity",Companies analysis from our sister publication,https://www.ft.com/content/4e586830-f720-11e8-af46-2022a0b02a6c
32,Brexit’s twists and turns are baffling the markets,Assumptions that no-deal exit risks have receded may be misguided,https://www.ft.com/content/095a1560-fa1f-11e8-8b7c-6fa24bd5409c
33,Berkeley Group: Brex and mortar,"Housebuilder’s forward sales may be down, but markets had been braced for worse",https://www.ft.com/content/282c0084-fa24-11e8-af46-2022a0b02a6c
34,Health sector faces 6-month drugs shortage in no-deal,Pharma companies told to prepare for ‘significantly reduced access’ at borders,https://www.ft.com/content/a312aa90-fa25-11e8-8b7c-6fa24bd5409c
35,Switzerland risks EU financial sanctions over integration deal,Snub to Brussels in failure to endorse closer alignment to bloc,https://www.ft.com/content/0d992b1a-fa39-11e8-8b7c-6fa24bd5409c
